CustomerId,Date,Amount
C231,11/01/2022,9232
C231,11/02/2022,6061
C231,11/03/2022,5108
C231,11/04/2022,9086
C231,11/05/2022,-8534
C231,11/06/2022,-2961
C231,11/07/2022,2661
C231,11/08/2022,-7651
C231,11/09/2022,-6398
C231,11/10/2022,-5988
C231,11/11/2022,7025
C231,11/12/2022,6429
C231,11/13/2022,-6819
C231,11/14/2022,729
C231,11/15/2022,3797
C231,11/16/2022,3030
C231,11/17/2022,-7192
C231,11/18/2022,-5553
C231,11/19/2022,2875
C231,11/20/2022,6599
C231,11/21/2022,-690
C231,11/22/2022,-3730
C231,11/23/2022,6818
C231,11/24/2022,3261
C231,11/25/2022,5339
C231,11/26/2022,9373
C231,11/27/2022,9937
C231,11/28/2022,-6007
C231,11/29/2022,7607
C231,11/30/2022,-3444

C865,11/01/2022,-2441
C865,11/02/2022,9134
C865,11/03/2022,7793
C865,11/04/2022,7498
C865,11/05/2022,-7947
C865,11/06/2022,-1927
C865,11/07/2022,9722
C865,11/08/2022,5683
C865,11/09/2022,-4906
C865,11/10/2022,-4727
C865,11/11/2022,9529
C865,11/12/2022,5056
C865,11/13/2022,4038
C865,11/14/2022,1854
C865,11/15/2022,-5699
C865,11/16/2022,7353
C865,11/17/2022,-5561
C865,11/18/2022,-9503
C865,11/19/2022,-917
C865,11/20/2022,-7573
C865,11/21/2022,349
C865,11/22/2022,707
C865,11/23/2022,2178
C865,11/24/2022,-4048
C865,11/25/2022,9486
C865,11/26/2022,1349
C865,11/27/2022,4255
C865,11/28/2022,-8417
C865,11/29/2022,1208
C865,11/30/2022,-2189

C409,11/01/2022,-1878
C409,11/02/2022,-2096
C409,11/03/2022,-8120
C409,11/04/2022,-7686
C409,11/05/2022,-7141
C409,11/06/2022,-5514
C409,11/07/2022,-5593
C409,11/08/2022,7593
C409,11/09/2022,8560
C409,11/10/2022,-4134
C409,11/11/2022,6530
C409,11/12/2022,-3447
C409,11/13/2022,6057
C409,11/14/2022,-2523
C409,11/15/2022,-4040
C409,11/16/2022,3474
C409,11/17/2022,-227
C409,11/18/2022,-6661
C409,11/19/2022,9474
C409,11/20/2022,-4011
C409,11/21/2022,1260
C409,11/22/2022,-8247
C409,11/23/2022,-2151
C409,11/24/2022,-8755
C409,11/25/2022,-4022
C409,11/26/2022,2285
C409,11/27/2022,-1209
C409,11/28/2022,-5432
C409,11/29/2022,6520
C409,11/30/2022,-4984
